Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-22T05:10:52.125Z","Included","auto","No","0","1657","18432","738","20827","0.01"
"2026-02-22T05:08:07.198Z","Included","composer-1.5","No","0","36252","784928","9558","830738","0.27"
"2026-02-22T05:07:46.858Z","Included","composer-1.5","No","0","119976","3251040","14692","3385708","0.99"
"2026-02-22T05:07:13.562Z","Included","composer-1.5","No","0","26237","131648","3715","161600","0.07"
"2026-02-22T05:06:55.442Z","Included","auto","No","0","17472","11264","1680","30416","0.03"
"2026-02-22T05:02:32.172Z","Included","gemini-3.1-pro-preview","No","0","1074478","6703801","54225","7832504","4.14"
"2026-02-22T04:59:15.345Z","Included","auto","No","0","12254","47616","583","60453","0.03"
"2026-02-22T04:58:48.364Z","Included","composer-1","No","0","61293","130016","2336","193645","0.10"
"2026-02-22T04:58:48.343Z","Included","composer-1","No","0","43315","14624","1747","59686","0.05"
"2026-02-22T04:58:35.292Z","Included","gpt-5.3-codex","No","0","132615","90752","5075","228442","0.32"
